,category,area,Type of use,Type of institution
0,precipitation,Mining,Data Analysis,Center Research
1,max/min temperature,Meteorology,Data Analysis,Universities
3,max/min temperature,Meteorology,Research,Universities
10,precipitation,Meteorology,Data Analysis,Universities
12,precipitation,Meteorology,Research,Universities
15,precipitation,Ecology,Research,Universities
16,max/min temperature,Forestry,Research,Universities
21,flow,Agro/Agroindustry/Irrigation,Data Analysis,Universities
22,precipitation,Meteorology,Research,Universities
23,max/min temperature,Meteorology,Research,Universities
27,precipitation,Mathematics/Statistics/Modeling,Teaching,Universities
34,precipitation,Hidrology,Engineering projects,Private sector (companies)
35,temperature,Fishing/Aquaculture,Research,Trade-union associations and other organizations
40,precipitation,Meteorology,Research,Private sector (companies)
41,temperature,Meteorology,Research,Private sector (companies)
42,temperature,Meteorology,Engineering projects,Private sector (companies)
43,flow,Environmental,Engineering projects,Universities
44,precipitation,Environmental,Engineering projects,Universities
45,max/min temperature,Environmental,Engineering projects,Universities
46,temperature,Meteorology,Research,Private sector (companies)
47,temperature,Environmental,Engineering projects,Universities
48,global simulation,Environmental,Engineering projects,Universities
49,global simulation,Environmental,Data Analysis,Universities
50,precipitation,Environmental,Research,Universities
51,precipitation,Environmental,Data Analysis,Private sector (companies)
53,temperature,Environmental,Data Analysis,Universities
55,precipitation,Environmental,Data Analysis,Universities
56,flow,Hidrology,Research,Public sector (state agencies)
57,flow,Meteorology,Research,Universities
58,flow,Meteorology,Research,Universities
60,max/min temperature,Meteorology,Research,Universities
61,max/min temperature,Meteorology,Research,Universities
62,temperature,Meteorology,Research,Universities
65,max/min temperature,Agro/Agroindustry/Irrigation,Research,Private sector (companies)
66,temperature,Environmental,Data Analysis,Private sector (companies)
67,precipitation,Ecology,Research,Universities
69,precipitation,Agro/Agroindustry/Irrigation,Research,Private sector (companies)
71,precipitation,Environmental,Research,Private sector (companies)
72,flow,Hidrology,Data Analysis,Public sector (state agencies)
76,temperature,Agro/Agroindustry/Irrigation,Data Analysis,Public sector (state agencies)
78,precipitation,Economy/Sales/trends markets,Data Analysis,Universities
80,flow,Forestry,Data Analysis,Universities
81,temperature,Forestry,Data Analysis,Universities
82,precipitation,Forestry,Data Analysis,Private sector (companies)
83,temperature,Meteorology,Research,Universities
86,global simulation,Meteorology,Research,Universities
87,precipitation,Agro/Agroindustry/Irrigation,Data Analysis,Public sector (state agencies)
88,temperature,Hidrology,Engineering projects,Private sector (companies)
89,flow,Hidrology,Research,Universities
90,precipitation,Hidrology,Research,Universities
91,temperature,Hidrology,Research,Universities
93,precipitation,Agro/Agroindustry/Irrigation,Data Analysis,Private sector (companies)
94,precipitation,Agro/Agroindustry/Irrigation,Data Analysis,Private sector (companies)
95,precipitation,Agro/Agroindustry/Irrigation,Data Analysis,Private sector (companies)
96,temperature,Agro/Agroindustry/Irrigation,Data Analysis,Private sector (companies)
98,precipitation,Agro/Agroindustry/Irrigation,Teaching,Universities
99,flow,Hidrology,Teaching,Universities
102,precipitation,Meteorology,Data Analysis,Center Research
104,temperature,Meteorology,Data Analysis,Center Research
105,flow,Environmental,Research,Center Research
106,precipitation,Environmental,Research,Center Research
107,max/min temperature,Environmental,Research,Center Research
111,precipitation,Communications,Data Analysis,Trade-union associations and other organizations
112,precipitation,Agro/Agroindustry/Irrigation,Data Analysis,Private sector (companies)
115,temperature,Agro/Agroindustry/Irrigation,Data Analysis,Universities
116,precipitation,Agro/Agroindustry/Irrigation,Data Analysis,Private sector (companies)
118,precipitation,Economy/Sales/trends markets,Data Analysis,Private sector (companies)
128,temperature,Agro/Agroindustry/Irrigation,Data Analysis,Universities
129,precipitation,Agro/Agroindustry/Irrigation,Data Analysis,Universities
130,temperature,Hidrology,Data Analysis,Universities
131,global simulation,Meteorology,Research,Universities
132,precipitation,Meteorology,Research,Universities
133,precipitation,Economy/Sales/trends markets,Data Analysis,Private sector (companies)
134,temperature,Economy/Sales/trends markets,Research,Private sector (companies)
136,precipitation,Meteorology,Teaching,Universities
137,precipitation,Meteorology,Teaching,Universities
140,temperature,Agro/Agroindustry/Irrigation,Research,Universities
141,precipitation,Environmental,Research,Universities
142,temperature,Environmental,Research,Universities
143,precipitation,Health,Data Analysis,Universities
145,global simulation,Energy,Data Analysis,Universities
147,precipitation,Agro/Agroindustry/Irrigation,Teaching,Universities
148,temperature,Agro/Agroindustry/Irrigation,Data Analysis,Private sector (companies)
151,temperature,Meteorology,Data Analysis,Universities
154,precipitation,Building/Architecture,Engineering projects,Private sector (companies)
155,max/min temperature,Meteorology,Teaching,Universities
156,precipitation,Agro/Agroindustry/Irrigation,Data Analysis,Private sector (companies)
157,precipitation,Hidrology,Data Analysis,Private sector (companies)
160,precipitation,Agro/Agroindustry/Irrigation,Data Analysis,Private sector (companies)
161,precipitation,Environmental,Data Analysis,Private sector (companies)
162,precipitation,Meteorology,Data Analysis,Universities
166,flow,Hidrology,Research,Universities
167,precipitation,Economy/Sales/trends markets,Data Analysis,Private sector (companies)
170,precipitation,Agro/Agroindustry/Irrigation,Engineering projects,Private sector (companies)
171,max/min temperature,Economy/Sales/trends markets,Data Analysis,Private sector (companies)
173,precipitation,Agro/Agroindustry/Irrigation,Data Analysis,Universities
174,precipitation,Environmental,Research,Center Research
175,precipitation,Meteorology,Research,Public sector (state agencies)
178,precipitation,Meteorology,Data Analysis,Universities
179,precipitation,Building/Architecture,Engineering projects,Private sector (companies)
180,max/min temperature,Building/Architecture,Engineering projects,Private sector (companies)
181,precipitation,Hidrology,Data Analysis,Universities
182,precipitation,Building/Architecture,Research,Universities
183,max/min temperature,Agro/Agroindustry/Irrigation,Data Analysis,Universities
184,flow,Hidrology,Data Analysis,Universities
185,precipitation,Agro/Agroindustry/Irrigation,Data Analysis,Private sector (companies)
186,precipitation,Forestry,Data Analysis,Public sector (state agencies)
187,max/min temperature,Meteorology,Data Analysis,Universities
188,precipitation,Hidrology,Data Analysis,Private sector (companies)
189,precipitation,Hidrology,Research,Universities
190,temperature,Meteorology,Data Analysis,Universities
192,precipitation,Ecology,Research,Universities
193,flow,Forestry,Data Analysis,Public sector (state agencies)
194,precipitation,Forestry,Data Analysis,Public sector (state agencies)
195,precipitation,Forestry,Data Analysis,Public sector (state agencies)
196,precipitation,Forestry,Data Analysis,Public sector (state agencies)
197,max/min temperature,Forestry,Data Analysis,Public sector (state agencies)
199,precipitation,Energy,Data Analysis,Universities
200,precipitation,Mathematics/Statistics/Modeling,Data Analysis,Universities
202,precipitation,Meteorology,Engineering projects,Public sector (state agencies)
203,precipitation,Economy/Sales/trends markets,Data Analysis,Public sector (state agencies)
208,precipitation,Ecology,Data Analysis,Universities
209,precipitation,Agro/Agroindustry/Irrigation,Data Analysis,Public sector (state agencies)
210,precipitation,Economy/Sales/trends markets,Research,Universities
216,regional simulation,Environmental,Teaching,Universities
217,flow,Hidrology,Data Analysis,Private sector (companies)
218,max/min temperature,Environmental,Data Analysis,Private sector (companies)
219,precipitation,Agro/Agroindustry/Irrigation,Data Analysis,Private sector (companies)
220,precipitation,Meteorology,Data Analysis,Public sector (state agencies)
221,precipitation,Agro/Agroindustry/Irrigation,Data Analysis,Public sector (state agencies)
222,flow,Mining,Teaching,Center Research
223,precipitation,Meteorology,Data Analysis,Private sector (companies)
227,precipitation,Economy/Sales/trends markets,Data Analysis,Universities
228,precipitation,Sanitary Services,Engineering projects,Private sector (companies)
230,precipitation,Hidrology,Research,Universities
231,precipitation,Energy,Data Analysis,Private sector (companies)
232,precipitation,Agro/Agroindustry/Irrigation,Data Analysis,Private sector (companies)
233,precipitation,Building/Architecture,Data Analysis,Private sector (companies)
236,precipitation,Agro/Agroindustry/Irrigation,Engineering projects,Private sector (companies)
238,flow,Ecology,Research,Universities
239,precipitation,Hidrology,Data Analysis,Universities
241,precipitation,Forestry,Data Analysis,Universities
242,flow,Building/Architecture,Data Analysis,Private sector (companies)
243,precipitation,Hidrology,Data Analysis,Private sector (companies)
244,precipitation,Meteorology,Data Analysis,Universities
245,precipitation,Hidrology,Research,Universities
246,flow,Meteorology,Research,Center Research
247,precipitation,Agro/Agroindustry/Irrigation,Data Analysis,Public sector (state agencies)
248,max/min temperature,Agro/Agroindustry/Irrigation,Data Analysis,Private sector (companies)
249,precipitation,Hidrology,Data Analysis,Universities
251,flow,Hidrology,Data Analysis,Universities
252,precipitation,Hidrology,Research,Universities
253,max/min temperature,Hidrology,Research,Universities
254,precipitation,Meteorology,Data Analysis,Universities
255,precipitation,Agro/Agroindustry/Irrigation,Research,Universities
256,precipitation,Building/Architecture,Data Analysis,Private sector (companies)
